Date,Dynamic Risk Averse,Dynamic Risk Neutral,Dynamic Risk Loving,60/40 SPY-TLT,SPY
2013-06-14,99.12,99.24,99.11,99.53,99.37
2013-06-17,99.75,99.76,99.69,99.78,100.14
2013-06-18,100.21,100.42,100.18,100.27,100.93
2013-06-19,99.21,99.06,99.09,99.03,99.54
2013-06-20,96.56,96.43,96.48,96.91,97.07
2013-06-21,96.61,96.55,96.52,96.44,97.38
2013-06-24,95.41,95.45,95.34,95.87,96.15
2013-06-25,96.52,96.51,96.42,96.08,97.08
2013-06-26,96.66,97.07,96.64,96.9,98.04
2013-06-27,97.13,97.76,97.17,97.63,98.61
2013-06-28,97.22,97.88,97.26,97.66,98.21
2013-07-01,97.63,98.28,97.67,98.08,98.78
2013-07-02,97.47,98.25,97.55,98.0,98.69
2013-07-03,97.28,97.97,97.3,97.91,98.74
2013-07-05,98.23,98.85,98.22,97.21,99.8
2013-07-08,98.39,99.2,98.51,97.92,100.37
2013-07-09,99.29,100.24,99.41,98.38,101.09
2013-07-10,99.56,100.27,99.61,98.1,101.13
2013-07-11,100.96,101.76,100.99,99.36,102.51
2013-07-12,101.46,101.97,101.45,99.35,102.55
2013-07-15,101.66,102.51,101.78,99.79,102.94
2013-07-16,101.49,102.33,101.58,99.7,102.56
2013-07-17,101.41,102.26,101.5,99.93,102.82
2013-07-18,101.75,102.71,101.86,99.76,103.38
2013-07-19,101.77,102.99,102.01,100.49,103.57
2013-07-22,102.09,103.25,102.34,100.67,103.77
2013-07-23,101.95,103.01,102.22,100.37,103.55
2013-07-24,101.42,102.27,101.64,99.64,103.17
2013-07-25,101.67,102.51,101.87,99.77,103.42
2013-07-26,101.96,102.78,102.16,100.08,103.53
2013-07-29,101.63,102.49,101.86,99.61,103.21
2013-07-30,102.04,102.79,102.21,99.59,103.21
2013-07-31,102.09,102.8,102.26,99.78,103.28
2013-08-01,103.75,104.42,103.9,99.7,104.48
2013-08-02,103.63,104.2,103.76,100.24,104.66
2013-08-05,103.59,104.1,103.74,99.85,104.5
2013-08-06,102.93,103.63,103.16,99.62,103.91
2013-08-07,102.57,103.06,102.75,99.73,103.57
2013-08-08,103.31,103.84,103.54,100.05,103.95
2013-08-09,103.02,103.85,103.36,99.94,103.65
2013-08-12,103.35,104.23,103.69,99.6,103.53
2013-08-13,103.73,104.34,103.99,99.2,103.83
2013-08-14,104.04,104.13,104.19,98.96,103.3
2013-08-15,102.84,102.91,103.04,97.59,101.86
2013-08-16,102.4,102.33,102.55,97.26,101.52
2013-08-19,101.74,101.69,101.89,96.55,100.87
2013-08-20,102.36,102.33,102.5,97.13,101.37
2013-08-21,102.16,102.0,102.27,96.35,100.74
2013-08-22,103.05,102.94,103.17,97.27,101.66
2013-08-23,103.48,103.33,103.61,97.89,102.0
2013-08-26,103.26,103.06,103.32,97.86,101.62
2013-08-27,101.53,101.64,101.73,97.41,99.99
2013-08-28,101.65,101.73,101.77,97.3,100.35
2013-08-29,101.97,102.04,102.08,97.71,100.5
2013-08-30,101.53,101.65,101.68,97.48,100.19
2013-09-03,101.78,101.87,101.92,97.19,100.64
2013-09-04,103.0,102.88,103.06,97.59,101.47
2013-09-05,103.26,103.12,103.29,97.12,101.6
2013-09-06,103.38,103.35,103.43,97.34,101.65
2013-09-09,104.71,104.85,104.8,97.92,102.62
2013-09-10,105.63,105.63,105.63,98.08,103.38
2013-09-11,105.57,105.64,105.61,98.61,103.71
2013-09-12,105.12,105.11,105.16,98.4,103.43
2013-09-13,105.42,105.59,105.49,98.69,103.66
2013-09-16,105.58,105.84,105.65,98.77,104.26
2013-09-17,106.03,106.25,106.07,99.36,104.73
2013-09-18,107.21,107.81,107.33,100.54,105.94
2013-09-19,107.17,107.84,107.32,100.2,105.76
2013-09-20,106.01,106.5,106.08,99.99,105.02
2013-09-23,105.97,106.39,106.01,100.01,104.54
2013-09-24,106.28,106.33,106.19,100.3,104.29
2013-09-25,105.7,105.66,105.54,100.21,103.99
2013-09-26,105.82,105.81,105.68,100.16,104.39
2013-09-27,105.37,105.28,105.2,99.98,103.91
2013-09-30,105.13,104.88,104.92,99.6,103.36
2013-10-01,106.24,106.02,106.04,99.95,104.18
2013-10-02,106.45,106.15,106.25,99.95,104.08
2013-10-03,105.66,105.22,105.43,99.34,103.12
2013-10-04,106.43,105.87,106.18,99.76,103.9
2013-10-07,105.93,105.24,105.65,99.4,103.0
2013-10-08,104.8,104.08,104.54,98.72,101.8
2013-10-09,104.92,104.36,104.74,98.45,101.87
2013-10-10,106.73,106.14,106.47,99.78,104.07
2013-10-11,107.13,106.68,106.91,100.16,104.74
2013-10-14,107.84,107.13,107.51,100.08,105.16
2013-10-15,107.3,106.51,106.95,99.61,104.4
2013-10-16,108.65,107.82,108.26,100.95,105.85
2013-10-17,109.34,108.58,108.96,101.72,106.56
2013-10-18,109.85,109.15,109.52,102.22,107.28
2013-10-21,110.05,109.22,109.69,102.09,107.29
2013-10-22,110.65,110.12,110.4,102.9,107.91
2013-10-23,109.34,108.9,109.07,102.77,107.39
2013-10-24,109.59,109.11,109.29,102.81,107.75
2013-10-25,109.98,109.73,109.68,103.25,108.24
2013-10-28,109.26,109.32,109.03,103.2,108.41
2013-10-29,108.63,108.96,108.39,103.59,108.99
2013-10-30,107.46,107.94,107.24,103.03,108.45
2013-10-31,107.07,107.53,106.79,102.94,108.14
2013-11-01,107.18,107.8,106.96,102.64,108.4
2013-11-04,107.09,108.09,106.95,102.9,108.78
2013-11-05,106.55,107.54,106.42,102.21,108.44
2013-11-06,106.8,107.67,106.63,102.54,108.99
2013-11-07,105.78,106.77,105.73,102.11,107.61
2013-11-08,107.39,107.62,107.12,101.96,109.07
2013-11-11,107.48,107.68,107.21,101.81,109.08
2013-11-12,107.34,107.47,107.01,101.88,108.86
2013-11-13,108.27,108.48,107.94,102.52,109.74
2013-11-14,108.47,108.8,108.22,103.08,110.28
2013-11-15,109.14,109.38,108.83,103.43,110.76
2013-11-18,108.21,108.83,108.02,103.46,110.38
2013-11-19,107.6,108.41,107.5,103.01,110.14
2013-11-20,106.86,107.74,106.75,102.12,109.79
2013-11-21,108.0,108.62,107.83,102.68,110.68
2013-11-22,108.17,108.88,108.04,103.37,111.23
2013-11-25,108.55,109.06,108.36,103.43,111.12
2013-11-26,108.75,108.97,108.46,103.6,111.15
2013-11-27,109.23,109.45,108.94,103.68,111.42
2013-11-29,109.2,109.32,108.89,103.65,111.35
2013-12-02,109.03,109.01,108.68,103.17,111.06
2013-12-03,109.02,108.88,108.68,103.05,110.58
2013-12-04,108.88,108.74,108.58,102.65,110.57
2013-12-05,109.01,108.91,108.68,102.27,110.08
2013-12-06,109.77,109.89,109.53,103.15,111.31
2013-12-09,109.06,109.61,108.89,103.4,111.59
2013-12-10,109.04,109.44,108.83,103.48,111.19
2013-12-11,107.77,108.06,107.54,102.46,109.95
2013-12-12,107.33,107.78,107.14,102.1,109.58
2013-12-13,107.34,107.86,107.18,102.29,109.57
2013-12-16,108.35,108.68,108.09,102.53,110.25
2013-12-17,108.43,108.51,108.02,102.51,109.9
2013-12-18,109.8,109.91,109.39,103.36,111.78
2013-12-19,109.43,109.56,109.08,103.24,111.65
2013-12-20,110.55,110.37,110.1,104.24,112.3
2013-12-23,111.38,111.06,110.88,104.34,112.9
2013-12-24,111.73,111.48,111.25,104.14,113.15
2013-12-26,111.68,111.59,111.22,104.3,113.72
2013-12-27,111.87,111.74,111.41,104.18,113.72
2013-12-30,112.08,111.98,111.62,104.45,113.7
2013-12-31,112.42,112.24,111.92,104.49,114.23
2014-01-02,111.41,111.13,110.88,104.01,113.14
2014-01-03,111.4,111.2,110.89,104.0,113.12
2014-01-06,110.93,110.62,110.37,104.0,112.79
2014-01-07,111.75,111.3,111.16,104.48,113.49
2014-01-08,111.95,111.4,111.31,104.38,113.51
2014-01-09,112.17,111.92,111.66,104.67,113.59
2014-01-10,112.75,112.64,112.26,105.34,113.89
2014-01-13,111.68,111.5,111.22,104.71,112.38
2014-01-14,113.6,112.96,112.96,105.2,113.6
2014-01-15,114.83,114.16,114.22,105.5,114.22
2014-01-16,114.8,114.1,114.25,105.7,114.07
2014-01-17,113.35,113.09,112.85,105.61,113.59
2014-01-21,113.85,113.44,113.33,105.83,113.92
2014-01-22,113.8,113.63,113.33,105.76,113.99
2014-01-23,113.1,112.81,112.64,105.84,113.06
2014-01-24,110.91,110.48,110.46,104.76,110.65
2014-01-27,110.59,110.52,110.27,104.16,110.1
2014-01-28,110.73,110.96,110.47,104.63,110.76
2014-01-29,109.5,109.7,109.2,104.37,109.69
2014-01-30,110.88,111.18,110.6,104.92,110.86
2014-01-31,110.75,111.16,110.56,104.83,110.21
2014-02-03,108.65,108.95,108.48,103.92,107.73
2014-02-04,109.67,109.79,109.43,103.92,108.48
2014-02-05,109.44,109.35,109.15,103.46,108.35
2014-02-06,110.79,110.85,110.5,104.1,109.78
2014-02-07,111.99,112.05,111.68,104.91,111.14
2014-02-10,112.29,112.28,111.96,105.14,111.34
2014-02-11,113.42,113.35,113.01,105.59,112.56
2014-02-12,113.91,113.41,113.36,105.4,112.61
2014-02-13,115.03,114.13,114.35,105.97,113.2
2014-02-14,115.72,114.53,114.97,106.34,113.82
2014-02-18,115.87,114.63,115.11,106.51,113.96
2014-02-19,115.4,114.11,114.62,105.91,113.2
2014-02-20,116.52,114.81,115.62,106.18,113.87
2014-02-21,116.52,114.93,115.65,106.33,113.74
2014-02-24,117.12,115.28,116.15,106.58,114.37
2014-02-25,116.52,114.85,115.58,106.94,114.33
2014-02-26,116.74,115.06,115.75,107.17,114.33
2014-02-27,116.9,115.35,115.95,107.74,114.93
2014-02-28,117.22,115.61,116.27,107.93,115.22
2014-03-03,116.48,114.94,115.55,107.76,114.41
2014-03-04,118.04,116.44,117.08,108.02,116.02
2014-03-05,118.5,116.5,117.46,108.17,116.13
2014-03-06,118.56,116.64,117.52,107.89,116.39
2014-03-07,118.38,116.25,117.25,107.65,116.44
2014-03-10,118.25,116.25,117.19,107.68,116.38
2014-03-11,118.15,116.01,117.07,107.47,115.81
2014-03-12,118.57,116.29,117.43,107.79,115.84
2014-03-13,116.85,114.94,115.81,107.64,114.54
2014-03-14,116.87,114.98,115.84,107.47,114.22
2014-03-17,117.49,115.6,116.45,107.73,115.25
2014-03-18,118.64,116.45,117.5,108.35,116.07
2014-03-19,118.65,115.93,117.35,107.66,115.45
2014-03-20,119.03,116.27,117.66,107.97,116.13
2014-03-21,118.88,116.32,117.61,108.18,115.68
2014-03-24,118.23,115.67,116.94,108.22,115.2
2014-03-25,119.09,116.47,117.79,108.37,115.75
2014-03-26,118.28,115.89,117.08,108.24,114.91
2014-03-27,117.82,115.86,116.73,108.32,114.67
2014-03-28,118.27,116.2,117.13,108.4,115.24
2014-03-31,119.73,117.59,118.6,108.82,116.18
2014-04-01,120.82,118.26,119.52,108.88,116.95
2014-04-02,121.49,119.06,120.21,108.85,117.34
2014-04-03,121.59,119.07,120.29,108.96,117.19
2014-04-04,120.15,118.18,119.07,108.47,115.8
2014-04-07,119.0,117.0,117.94,108.01,114.52
2014-04-08,120.13,117.94,119.07,108.38,114.99
2014-04-09,121.21,119.04,120.13,108.87,116.23
2014-04-10,119.07,117.26,118.16,107.9,113.79
2014-04-11,117.87,116.35,117.09,107.67,112.76
2014-04-14,120.38,118.25,119.56,108.06,113.65
2014-04-15,120.77,118.71,119.96,108.78,114.43
2014-04-16,121.46,119.6,120.7,109.52,115.63
2014-04-17,121.81,119.69,120.97,109.13,115.8
2014-04-21,121.9,119.75,120.96,109.32,116.2
2014-04-22,122.64,120.26,121.57,109.77,116.73
2014-04-23,122.47,120.03,121.38,109.87,116.45
2014-04-24,123.85,120.84,122.6,110.08,116.69
2014-04-25,122.57,119.87,121.54,109.6,115.73
2014-04-28,122.85,120.11,121.86,109.6,116.1
2014-04-29,123.07,120.23,122.02,109.85,116.64
2014-04-30,123.5,120.84,122.44,110.23,116.99
2014-05-01,123.84,121.01,122.76,110.71,117.0
2014-05-02,123.77,121.07,122.7,110.88,116.83
2014-05-05,124.09,121.06,122.91,110.74,117.06
2014-05-06,123.21,120.23,122.0,110.34,116.04
2014-05-07,123.71,120.77,122.5,110.58,116.72
2014-05-08,123.76,120.63,122.51,110.32,116.6
2014-05-09,123.84,120.86,122.66,110.27,116.77
2014-05-12,125.34,121.94,123.98,110.74,117.91
2014-05-13,125.21,122.24,124.03,111.18,118.01
2014-05-14,124.73,121.87,123.59,111.35,117.45
2014-05-15,123.94,121.13,122.85,111.11,116.42
2014-05-16,124.72,121.5,123.51,111.22,116.83
2014-05-19,125.48,121.98,124.18,111.14,117.26
2014-05-20,124.15,120.69,122.85,110.81,116.52
2014-05-21,124.68,121.31,123.39,111.1,117.5
2014-05-22,124.48,121.52,123.25,111.2,117.78
2014-05-23,125.12,122.04,123.83,111.71,118.26
2014-05-27,125.88,122.76,124.59,112.38,118.98
2014-05-28,126.02,122.78,124.71,112.89,118.9
2014-05-29,126.78,123.64,125.52,113.0,119.51
2014-05-30,126.87,123.65,125.59,113.09,119.7
2014-06-02,127.12,124.04,125.89,112.83,119.84
2014-06-03,127.47,124.23,126.17,112.24,119.78
2014-06-04,127.69,124.39,126.33,112.36,120.02
2014-06-05,128.57,125.34,127.22,112.82,120.8
2014-06-06,129.11,125.93,127.75,113.15,121.38
2014-06-09,129.24,125.74,127.75,113.15,121.5
2014-06-10,129.42,125.83,127.87,112.99,121.52
2014-06-11,129.57,125.65,127.92,112.84,121.09
2014-06-12,128.25,124.31,126.53,112.76,120.24
2014-06-13,128.55,124.98,126.91,112.94,120.6
2014-06-16,128.8,125.2,127.15,113.11,120.7
2014-06-17,129.85,125.73,128.08,112.94,121.04
2014-06-18,130.87,126.98,129.22,113.79,121.93
2014-06-19,130.97,127.39,129.42,113.28,122.06
2014-06-20,131.62,128.25,130.15,113.76,122.31
2014-06-23,131.39,128.03,129.94,113.6,122.27
2014-06-24,130.51,127.44,129.15,113.65,121.54
2014-06-25,131.1,128.03,129.71,114.07,122.09
2014-06-26,131.2,128.16,129.84,114.24,122.0
2014-06-27,132.01,128.74,130.59,114.31,122.24
2014-06-30,132.04,128.81,130.57,114.39,122.17
2014-07-01,132.95,129.4,131.36,114.46,122.99
2014-07-02,133.04,129.57,131.49,114.04,123.12
2014-07-03,133.76,130.25,132.18,114.21,123.72
2014-07-07,133.23,129.74,131.67,114.31,123.29
2014-07-08,132.54,129.09,131.02,114.38,122.5
2014-07-09,133.54,129.67,131.87,114.73,123.05
2014-07-10,133.13,129.3,131.5,114.47,122.56
2014-07-11,133.26,129.52,131.66,114.85,122.73
2014-07-14,133.72,129.82,131.98,115.0,123.35
2014-07-15,133.53,129.65,131.83,114.78,123.12
2014-07-16,134.14,130.76,132.56,115.28,123.57
